"CountryNm","latlong","variable","value"
"ROMANIA","44.44:26.1","2014-11-01",120
"ROMANIA","44.44:26.1","2014-12-01",120
"GREECE","37.98:23.73","2014-08-01",118
"SAINT KITTS AND NEVIS","17.31:-62.73","2014-09-01",118
"COSTA RICA","10.97:-85.13","2014-07-01",116
"COSTA RICA","9.93:-84.08","2014-07-01",116
"GIBRALTAR","36.14:-5.35","2014-07-01",116
"ROMANIA","44.44:26.1","2014-10-01",116
"CZECH REPUBLIC","50.08:14.43","2014-07-01",115
"HUNGARY","47.51:19.08","2014-07-01",115
"CZECH REPUBLIC","50.08:14.43","2014-08-01",115
"ROMANIA","44.44:26.1","2014-08-01",115
"MONACO","43.74:7.42","2014-09-01",115
"ROMANIA","44.44:26.1","2014-07-01",114
"SAINT KITTS AND NEVIS","17.31:-62.73","2014-08-01",114
"MONACO","43.74:7.42","2014-08-01",113
"ROMANIA","44.44:26.1","2014-09-01",112
"BULGARIA","42.69:23.31","2014-10-01",111
"EGYPT","30.06:31.25","2014-07-01",109
"BULGARIA","42.69:23.31","2014-09-01",108
"SAINT KITTS AND NEVIS","17.31:-62.73","2014-07-01",106
"MONACO","43.74:7.42","2014-07-01",105
"GREECE","37.98:23.73","2014-07-01",103
"BULGARIA","42.69:23.31","2014-08-01",103
"SEYCHELLES","-4.62:55.45","2014-12-01",103
"KUWAIT","29.38:47.99","2014-12-01",99
"PAKISTAN","33.72:73.06","2014-12-01",99
"KUWAIT","29.38:47.99","2014-11-01",98
"COOK ISLANDS","-21.2:-159.76","2014-12-01",98
"PAKISTAN","33.72:73.06","2014-08-01",97
"PAKISTAN","33.72:73.06","2014-11-01",97
"DOMINICAN REPUBLIC","18.48:-69.91","2014-12-01",97
"BULGARIA","42.69:23.31","2014-07-01",96
"KAZAKHSTAN","51.17:71.47","2014-07-01",96
"KAZAKHSTAN","51.17:71.47","2014-09-01",96
"PAKISTAN","33.72:73.06","2014-09-01",96
"KAZAKHSTAN","51.17:71.47","2014-10-01",96
"KAZAKHSTAN","51.17:71.47","2014-11-01",96
"SEYCHELLES","-4.62:55.45","2014-11-01",96
"KAZAKHSTAN","51.17:71.47","2014-12-01",96
"KAZAKHSTAN","51.17:71.47","2014-08-01",95
"PAKISTAN","33.72:73.06","2014-10-01",95
"DOMINICAN REPUBLIC","18.48:-69.91","2014-11-01",95
"COOK ISLANDS","-21.2:-159.76","2014-11-01",94
"SEYCHELLES","-4.62:55.45","2014-09-01",93
"COOK ISLANDS","-21.2:-159.76","2014-10-01",93
"SEYCHELLES","-4.62:55.45","2014-10-01",93
"KUWAIT","29.38:47.99","2014-09-01",92
"KUWAIT","29.38:47.99","2014-10-01",92
"MARSHALL ISLANDS","7.12:171.06","2014-12-01",92
"COOK ISLANDS","-21.2:-159.76","2014-09-01",91
"PAKISTAN","33.72:73.06","2014-07-01",89
"KUWAIT","29.38:47.99","2014-08-01",89
"MARSHALL ISLANDS","7.12:171.06","2014-09-01",89
"MARSHALL ISLANDS","7.12:171.06","2014-11-01",89
"CAMBODIA","11.57:104.92","2014-12-01",89
"COOK ISLANDS","-21.2:-159.76","2014-08-01",88
"DOMINICAN REPUBLIC","18.48:-69.91","2014-10-01",88
"MARSHALL ISLANDS","7.12:171.06","2014-10-01",88
"COOK ISLANDS","-21.2:-159.76","2014-07-01",87
"CAMBODIA","11.57:104.92","2014-08-01",86
"CAMBODIA","11.57:104.92","2014-09-01",86
"CAMBODIA","11.57:104.92","2014-10-01",86
"CAMBODIA","11.57:104.92","2014-11-01",86
"KUWAIT","29.38:47.99","2014-07-01",84
"BANGLADESH","23.7:90.39","2014-08-01",84
"BANGLADESH","23.7:90.39","2014-09-01",84
"BANGLADESH","23.7:90.39","2014-10-01",84
"BANGLADESH","23.7:90.39","2014-11-01",84
"NIGERIA","9.18:7.17","2014-11-01",84
"NIGERIA","9.18:7.17","2014-12-01",84
"MARSHALL ISLANDS","7.12:171.06","2014-08-01",83
"NIGERIA","9.18:7.17","2014-10-01",83
"CAMBODIA","11.57:104.92","2014-07-01",82
"DOMINICAN REPUBLIC","18.48:-69.91","2014-09-01",82
"NIGERIA","9.18:7.17","2014-09-01",82
"GUATEMALA","14.63:-90.55","2014-11-01",82
"BANGLADESH","23.7:90.39","2014-12-01",82
"CROATIA","45.8:15.97","2014-12-01",82
"GUATEMALA","14.63:-90.55","2014-12-01",82
"BANGLADESH","23.7:90.39","2014-07-01",81
"GUATEMALA","14.63:-90.55","2014-07-01",81
"GUATEMALA","14.63:-90.55","2014-08-01",81
"NIGERIA","9.18:7.17","2014-08-01",81
"GUATEMALA","14.63:-90.55","2014-09-01",81
"GUATEMALA","14.63:-90.55","2014-10-01",81
"MARSHALL ISLANDS","7.12:171.06","2014-07-01",80
"DOMINICAN REPUBLIC","18.48:-69.91","2014-08-01",80
"TRINIDAD AND TOBAGO","10.66:-61.51","2014-12-01",78
"TRINIDAD AND TOBAGO","10.66:-61.51","2014-11-01",77
"NIGERIA","9.18:7.17","2014-07-01",76
"CROATIA","45.8:15.97","2014-11-01",76
"DOMINICAN REPUBLIC","18.48:-69.91","2014-07-01",75
"CROATIA","45.8:15.97","2014-10-01",75
"CROATIA","45.8:15.97","2014-09-01",74
"SAINT LUCIA","14.03:-60.98","2014-11-01",74
"SAINT LUCIA","14.03:-60.98","2014-12-01",74
"CROATIA","45.8:15.97","2014-08-01",73
